Loading Program COPY of length 00107A starting at Address 001000 :-
001000	14
001001	10
001002	33
001003	48
001004	20
001005	39
001006	00
001007	10
001008	36
001009	28
00100A	10
00100B	30
00100C	30
00100D	10
00100E	15
00100F	48
001010	20
001011	61
001012	3C
001013	10
001014	03
001015	00
001016	10
001017	2A
001018	0C
001019	10
00101A	39
00101B	00
00101C	10
00101D	2D
00101E	0C
00101F	10
001020	36
001021	48
001022	20
001023	61
001024	08
001025	10
001026	33
001027	4C
001028	00
001029	00
00102A	45
00102B	4F
00102C	46
00102D	00
00102E	00
00102F	03
001030	00
001031	00
001032	00
002039	04
00203A	10
00203B	30
00203C	00
00203D	10
00203E	30
00203F	E0
002040	20
002041	5D
002042	30
002043	20
002044	3F
002045	D8
002046	20
002047	5D
002048	28
002049	10
00204A	30
00204B	30
00204C	F0
00204D	57
00204E	54
00204F	90
002050	39
002051	2C
002052	20
002053	5E
002054	38
002055	20
002056	3F
002057	10
002058	10
002059	36
00205A	4C
00205B	00
00205C	00
00205D	F1
00205E	00
00205F	10
002060	00
002061	04
002062	10
002063	30
002064	E0
002065	20
002066	79
002067	30
002068	20
002069	64
00206A	50
00206B	90
00206C	39
00206D	DC
00206E	20
00206F	79
002070	2C
002071	10
002072	36
002073	38
002074	20
002075	64
002076	4C
002077	00
002078	00
002079	05
